timestamp,symbol,action,strength,composite,ema,imbalance,momentum,bayesian,large_orders,frequency,vol_confirm,ohara_score,mtf_convergence,mtf_score,reason,accepted
2025-12-16 20:15:21,DOGEUSDT,HOLD,0,-0.143,-0.009,4.0,-79.8,BEARISH,NEUTRAL,NORMAL,NEUTRAL,5,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:23,AVAXUSDT,HOLD,0,0.133,0.060,55.3,-26.3,BEARISH,NEUTRAL,NORMAL,NEUTRAL,4,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:23,TRXUSDT,HOLD,0,0.104,0.124,-3.8,21.7,NEUTRAL,STRONG_BUY,VERY_LOW,NEUTRAL,4,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:23,AAVEUSDT,HOLD,0,0.051,0.055,-8.3,5.9,BEARISH,STRONG_SELL,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:24,STRKUSDT,HOLD,0,-0.054,0.030,-3.7,-17.9,NEUTRAL,NEUTRAL,NORMAL,NEUTRAL,2,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:28,BTCUSDT,HOLD,0,-0.057,-0.029,-8.8,5.8,BULLISH,NEUTRAL,NORMAL,NEUTRAL,5,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:29,ETHUSDT,HOLD,0,-0.001,-0.017,-8.2,-32.5,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,8,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:29,BNBUSDT,HOLD,0,0.302,0.275,3.3,-4.5,BEARISH,NEUTRAL,NORMAL,NEUTRAL,6,1.00,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:30,SOLUSDT,HOLD,0,0.306,0.250,-29.4,2.5,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,8,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:30,ADAUSDT,HOLD,0,-0.463,-0.070,5.2,-253.3,BULLISH,STRONG_SELL,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:30,DOGEUSDT,HOLD,0,0.095,0.030,-2.0,26.5,NEUTRAL,MEDIUM_BUY,NORMAL,NEUTRAL,4,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:32,AVAXUSDT,HOLD,0,0.082,0.076,-0.2,41.3,BEARISH,NEUTRAL,NORMAL,NEUTRAL,5,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:32,TRXUSDT,HOLD,0,0.077,0.089,-7.0,22.8,NEUTRAL,STRONG_BUY,VERY_LOW,NEUTRAL,4,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:32,AAVEUSDT,HOLD,0,-0.152,-0.023,-8.6,6.8,BEARISH,STRONG_SELL,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:34,STRKUSDT,HOLD,0,-0.143,-0.035,-4.2,-20.5,BEARISH,MEDIUM_SELL,NORMAL,NEUTRAL,6,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:37,BTCUSDT,HOLD,0,-0.208,-0.096,-10.5,-8.9,BULLISH,MEDIUM_SELL,NORMAL,NEUTRAL,6,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:39,ETHUSDT,HOLD,0,-0.119,-0.094,-6.1,-27.5,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,8,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:39,BNBUSDT,HOLD,0,0.259,0.261,2.3,-14.0,BEARISH,MEDIUM_SELL,NORMAL,NEUTRAL,8,1.00,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:39,SOLUSDT,HOLD,0,0.264,0.255,64.5,2.3,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:39,ADAUSDT,HOLD,0,-0.018,-0.051,5.0,-17.8,BULLISH,STRONG_SELL,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:39,DOGEUSDT,HOLD,0,0.064,0.042,-4.1,8.7,BULLISH,NEUTRAL,NORMAL,NEUTRAL,4,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:41,AVAXUSDT,HOLD,0,0.309,0.164,-44.2,41.6,NEUTRAL,STRONG_BUY,NORMAL,NEUTRAL,5,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:41,TRXUSDT,HOLD,0,0.071,0.076,-8.6,22.0,NEUTRAL,STRONG_BUY,VERY_LOW,NEUTRAL,4,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:41,AAVEUSDT,HOLD,0,0.108,0.026,1.7,9.5,NEUTRAL,STRONG_BUY,NORMAL,NEUTRAL,5,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:43,STRKUSDT,HOLD,0,0.005,-0.020,-4.6,-19.0,BEARISH,STRONG_SELL,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:46,BTCUSDT,HOLD,0,0.448,0.108,24.3,-1.4,BULLISH,MEDIUM_BUY,NORMAL,NEUTRAL,6,0.30,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:48,ETHUSDT,HOLD,0,-0.155,-0.140,-0.7,-38.0,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,8,0.65,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:48,BNBUSDT,HOLD,0,-0.271,-0.218,2.6,-123.3,NEUTRAL,STRONG_SELL,NORMAL,NEUTRAL,7,1.00,0.000,no_mtf_confirmation,NO
2025-12-16 20:15:48,SOLUSDT,HOLD,0,-0.211,0.080,10.1,-94.3,BULLISH,STRONG_BUY,NORMAL,NEUTRAL,7,0.30,0.000,no_mtf_confirmation,NO
